,code,var_name
212,3285530,Seed cotton Producer Price (LCU/tonne)
213,835530,Sorghum Producer Price (LCU/tonne)
214,1575530,Sugar beet Producer Price (LCU/tonne)
215,2675530,Sunflower seed Producer Price (LCU/tonne)
216,4955530,"Tangerines, mandarins, clementines, satsumas Producer Price (LCU/tonne)"
217,8265530,"Tobacco, unmanufactured Producer Price (LCU/tonne)"
218,3885530,Tomatoes Producer Price (LCU/tonne)
219,4635530,"Vegetables, fresh nes Producer Price (LCU/tonne)"
220,4205530,"Vegetables, leguminous nes Producer Price (LCU/tonne)"
221,2055530,Vetches Producer Price (LCU/tonne)
222,5675530,Watermelons Producer Price (LCU/tonne)
223,155530,Wheat Producer Price (LCU/tonne)
224,9875530,"Wool, greasy Producer Price (LCU/tonne)"
225,7115530,"Anise, badian, fennel, coriander Producer Price (LCU/tonne)"
226,3675530,Asparagus Producer Price (LCU/tonne)
227,5725530,Avocados Producer Price (LCU/tonne)
228,4865530,Bananas Producer Price (LCU/tonne)
229,11835530,Beeswax Producer Price (LCU/tonne)
230,1015530,Canary seed Producer Price (LCU/tonne)
231,1255530,Cassava Producer Price (LCU/tonne)
232,2655530,Castor oil seed Producer Price (LCU/tonne)
233,1085530,Cereals nes Producer Price (LCU/tonne)
234,8215530,Fibre crops nes Producer Price (LCU/tonne)
235,7735530,Flax fibre and tow Producer Price (LCU/tonne)
236,6775530,Hops Producer Price (LCU/tonne)
237,3335530,Linseed Producer Price (LCU/tonne)
238,2105530,Lupins Producer Price (LCU/tonne)
239,5715530,"Mangoes, mangosteens, guavas Producer Price (LCU/tonne)"
240,6715530,Maté Producer Price (LCU/tonne)
241,10715530,"Meat live weight, duck Producer Price (LCU/tonne)"
242,10785530,"Meat live weight, goose Producer Price (LCU/tonne)"
243,10885530,"Meat live weight, turkey Producer Price (LCU/tonne)"
244,11635530,"Meat, game Producer Price (LCU/tonne)"
245,5685530,"Melons, other (inc.cantaloupes) Producer Price (LCU/tonne)"
246,795530,Millet Producer Price (LCU/tonne)
247,3395530,Oilseeds nes Producer Price (LCU/tonne)
248,6005530,Papayas Producer Price (LCU/tonne)
249,7485530,Peppermint Producer Price (LCU/tonne)
250,5745530,Pineapples Producer Price (LCU/tonne)
251,5235530,Quinces Producer Price (LCU/tonne)
252,715530,Rye Producer Price (LCU/tonne)
253,2805530,Safflower seed Producer Price (LCU/tonne)
254,2365530,Soybeans Producer Price (LCU/tonne)
